id,brand,category,sku,pack,unit,code,MRP,expiry,case,image,description,price,active
1,Sanjeevani Organics,Cereals,Biryani Rice,1000,GM,8906054840970,247,24 Months,20,/media/product/biryani-rice.jpg,,247,1
2,Sanjeevani Organics,Cereals,Premium Basmati Rice,1000,GM,8906054840000,207,24 Months,20,/media/product/PremiumBasmati Rice-Front.png,,207,1
3,Sanjeevani Organics,Cereals,Premium Brown Rice,1000,GM,8906054840017,207,24 Months,20,/media/product/PremiumBrown Rice-front.png,,207,1
4,Sanjeevani Organics,Cereals,Parmal Rice,1000,GM,8906054840031,115,24 Months,20,/media/product/Parmal Rice-Front.png,,115,1
5,Sanjeevani Organics,Cereals,Parmal Rice,5000,GM,8906054841366,552,24 Months,5,/media/product/Parmal Rice-Front.png,,552,1
6,Sanjeevani Organics,Cereals,Regular Basmati Rice (ROZANA),1000,GM,8906054840024,144,24 Months,20,/media/product/Regular Basmati Rice (ROZANA)-Front.png,,144,1
7,Sanjeevani Organics,Cereals,Regular Basmati Rice  (ROZANA),5000,GM,8906054841373,690,24 Months,5,/media/product/Regular Basmati Rice (ROZANA)-Front.png,,690,1
8,Sanjeevani Organics,Cereals,Rice Sona Masoori,1000,GM,8906054840963,104,24 Months,20,/media/product/RiceSonaMasoori-ContentmissingDuplicate1kg.jpg-Back.png,,104,1
9,Sanjeevani Organics,Cereals,Rice Sona Masoori,5000,GM,8906054840963,483,24 Months,5,/media/product/RiceSonaMasoori-ContentmissingDuplicate1kg.jpg-Back.png,,483,1
10,Sanjeevani Organics,Cereals,Rice Sona Masoori Brown,1000,GM,8906054841762,104,24 Months,20,/media/product/RiceSonaMasoori Brown-Front.png,,104,1
11,Sanjeevani Organics,Cereals,Rice Sona Masoori Brown,5000,GM,8906054841779,489,24 Months,5,/media/product/RiceSonaMasoori Brown-Front.png,,489,1
12,Sanjeevani Organics,Cereals,Ponny Rice ,2000,GM,8906054841960,222,24 Months,10,/media/product/brown rice.jpg,,222,1
13,Sanjeevani Organics,Cereals,Idli Rice,2000,GM,8906054842073,199,24 Months,10,/media/product/idli rice.jpg,,199,1
14,Sanjeevani Organics,Cereals Based,Rice Poha,250,GM,8906054840857,35,9 Months,25,/media/product/Rice Poha-Front.png,,35,1
15,Sanjeevani Organics,Cereals Based,Rice Poha,500,GM,8906054840857,63,9 Months,20,/media/product/Rice Poha-Front.png,,63,1
16,Sanjeevani Organics,Cereals Based,Jowar (Sorghum)  Chiwada ,200,GM,8906054841663,92,9 Months,30,/media/product/jowar chiwada.jpg,,92,1
17,Sanjeevani Organics,Cereals Based,Whole Wheat Flour,5000,GM,8906054840062,295,9 Months,5,/media/product/whole wheat flour.jpg,,295,1
18,Sanjeevani Organics,Cereals Based,Whole Wheat Flour,2000,GM,8906054841816,127,9 Months,10,/media/product/whole wheat flour.jpg,,127,1
19,Sanjeevani Organics,Cereals Based,Multigrain Flour (Atta),1000,GM,8906054840079,121,9 Months,10,/media/product/Multigrain Flour (Atta)-Front.png,,121,1
20,Sanjeevani Organics,Cereals Based,Corn Flour (Makki Ka Atta),500,GM,8906054840673,54,9 Months,12,/media/product/Corn Flour (Makki Ka Atta)-Front.png,,54,1
21,Sanjeevani Organics,Cereals Based,Ragi Flour (Mandua Atta),500,GM,8906054841830,60,9 Months,12,/media/product/RagiFlour-Front.png,,60,1
22,Sanjeevani Organics,Cereals Based,Bajra Atta,500,GM,8906054840680,50,9 Months,12,/media/product/Bajra Atta-Front.png,,50,1
23,Sanjeevani Organics,Cereals Based,Jaun ka Atta (Barley flour),500,GM," 
8906054842042",59,9 Months,12,/media/product/Jaun ka Atta (Barley flour)-front.png,,59,1
24,Sanjeevani Organics,Cereals Based,Soyabean ka Atta ,500,GM,8906054840703,78,9 Months,12,/media/product/Soyabean ka Atta-Front.png,,78,1
25,Sanjeevani Organics,Cereals Based,Jowar (Sorghum) Idli Mix Flour,500,GM,8906054842080,125,9 Months,30,/media/product/jowar-idli-mix-250x250.jpg,,125,1
26,Sanjeevani Organics,Cereals Based,Wheat Suji,500,GM,8906054840055,44,9 Months,30,/media/product/Wheat Suji.jpg,,44,1
27,Sanjeevani Organics,Cereals Based,Wheat Maida,500,GM,8906054840840,46,9 Months,20,/media/product/wheat maida.jpg,,46,1
28,Sanjeevani Organics,Cereals Based,Jowar(Sorghum)  Rava,500,GM,8906054842097,80,9 Months,30,/media/product/jowar rava.jpg,,80,1
29,Sanjeevani Organics,Cereals Based,Wheat Dalia (Porridge) ,500,GM,8906054840048,52,9 Months,30,/media/product/wheat dalia.jpg,,52,1
