id,title,small,large,description
1,banner1,/media/banner/EssentialOils.jpg,/media/banner/banner1.gif,
2,banner2,/media/banner/31451433_l.jpg,/media/banner/gacrop-intsplash-006.jpg,
3,banner3,/media/banner/Beet-carrot-and-orange-juice-e1462282851283.jpg,/media/banner/Bluebell-Organic-Farm.jpg,
4,banner4,/media/banner/Kombucha-for-a-healthy-gut.jpg,/media/banner/gacrop-intsplash-009-00002.jpg,
5,banner5,/media/banner/SAVE-WOMENS-HEART-HEALTH.jpg,/media/banner/L_flowers.jpg,
6,banner6,/media/banner/farming-practies.png,/media/banner/gacrop-intsplash-013-00001.jpg,
7,banner7,/media/banner/images.jpeg,/media/banner/template_photo_2.jpg,
8,banner8,/media/banner/sustainable-agrculture.jpg,/media/banner/slide-img3-1-2500x915.png,
9,banner9,/media/banner/food_spirituality.jpg,/media/banner/31451433_l.jpg,
10,banner10,/media/banner/EssentialOils.jpg,/media/banner/EssentialOils.jpg,
11,banner11,/media/banner/farming-fruits.png,/media/banner/farming-fruits.png,
12,banner12,/media/banner/GMO-foods-organic-678x381.jpg,/media/banner/GMO-foods-organic-678x381.jpg,
